"gmtamesQSAR_ID","Strain","Endpoint","TrainValTest"
"gmtamesQSAR_0081","TA100","Negative","Train"
"gmtamesQSAR_0082","TA100","Negative","Train"
"gmtamesQSAR_0084","TA100","Negative","Train"
"gmtamesQSAR_0085","TA100","Negative","Train"
"gmtamesQSAR_0088","TA100","Negative","Train"
"gmtamesQSAR_0089","TA100","Negative","Train"
"gmtamesQSAR_0090","TA100","Positive","Train"
"gmtamesQSAR_0098","TA100","Negative","Train"
"gmtamesQSAR_0099","TA100","Positive","Train"
"gmtamesQSAR_0100","TA100","Positive","Train"
"gmtamesQSAR_0101","TA100","Negative","Train"
"gmtamesQSAR_0102","TA100","Positive","Train"
"gmtamesQSAR_0103","TA100","Negative","Train"
"gmtamesQSAR_0104","TA100","Positive","Train"
"gmtamesQSAR_0105","TA100","Negative","Train"
"gmtamesQSAR_0106","TA100","Negative","Train"
"gmtamesQSAR_0110","TA100","Negative","Train"
"gmtamesQSAR_0111","TA100","Negative","Train"
"gmtamesQSAR_0113","TA100","Negative","Train"
"gmtamesQSAR_0114","TA100","Positive","Train"
"gmtamesQSAR_0118","TA100","Positive","Train"
"gmtamesQSAR_0120","TA100","Negative","Train"
"gmtamesQSAR_0121","TA100","Negative","Train"
"gmtamesQSAR_0123","TA100","Positive","Train"
"gmtamesQSAR_0125","TA100","Negative","Train"
"gmtamesQSAR_0126","TA100","Negative","Train"
"gmtamesQSAR_0127","TA100","Negative","Train"
"gmtamesQSAR_0130","TA100","Negative","Train"
"gmtamesQSAR_0132","TA100","Negative","Train"
"gmtamesQSAR_0133","TA100","Positive","Train"
"gmtamesQSAR_0138","TA100","Positive","Train"
"gmtamesQSAR_0139","TA100","Negative","Train"
"gmtamesQSAR_0140","TA100","Negative","Train"
"gmtamesQSAR_0141","TA100","Negative","Train"
"gmtamesQSAR_0142","TA100","Negative","Train"
"gmtamesQSAR_0143","TA100","Negative","Train"
"gmtamesQSAR_0145","TA100","Negative","Train"
"gmtamesQSAR_0147","TA100","Negative","Train"
"gmtamesQSAR_0151","TA100","Negative","Train"
"gmtamesQSAR_0152","TA100","Positive","Train"
"gmtamesQSAR_0153","TA100","Negative","Train"
"gmtamesQSAR_0158","TA100","Negative","Train"
"gmtamesQSAR_0159","TA100","Negative","Train"
"gmtamesQSAR_0160","TA100","Positive","Train"
"gmtamesQSAR_0164","TA100","Positive","Train"
"gmtamesQSAR_0165","TA100","Negative","Train"
"gmtamesQSAR_0166","TA100","Negative","Train"
"gmtamesQSAR_0168","TA100","Negative","Train"
"gmtamesQSAR_0169","TA100","Positive","Train"
"gmtamesQSAR_0170","TA100","Negative","Train"
"gmtamesQSAR_0173","TA100","Positive","Train"
"gmtamesQSAR_0176","TA100","Negative","Train"
"gmtamesQSAR_0179","TA100","Negative","Train"
"gmtamesQSAR_0180","TA100","Negative","Train"
"gmtamesQSAR_0182","TA100","Negative","Train"
"gmtamesQSAR_0185","TA100","Negative","Train"
"gmtamesQSAR_0186","TA100","Positive","Train"
"gmtamesQSAR_0187","TA100","Negative","Train"
"gmtamesQSAR_0189","TA100","Negative","Train"
"gmtamesQSAR_0190","TA100","Negative","Train"
"gmtamesQSAR_0191","TA100","Positive","Train"
"gmtamesQSAR_0192","TA100","Negative","Train"
"gmtamesQSAR_0193","TA100","Positive","Train"
"gmtamesQSAR_0195","TA100","Negative","Train"
"gmtamesQSAR_0196","TA100","Negative","Train"
"gmtamesQSAR_0197","TA100","Negative","Train"
"gmtamesQSAR_0198","TA100","Positive","Train"
"gmtamesQSAR_0201","TA100","Positive","Train"
"gmtamesQSAR_0202","TA100","Negative","Train"
"gmtamesQSAR_0203","TA100","Negative","Train"
"gmtamesQSAR_0204","TA100","Negative","Train"
"gmtamesQSAR_0207","TA100","Negative","Train"
"gmtamesQSAR_0208","TA100","Negative","Train"
"gmtamesQSAR_0211","TA100","Positive","Train"
"gmtamesQSAR_0212","TA100","Negative","Train"
"gmtamesQSAR_0213","TA100","Negative","Train"
"gmtamesQSAR_0214","TA100","Negative","Train"
"gmtamesQSAR_0215","TA100","Negative","Train"
"gmtamesQSAR_0216","TA100","Negative","Train"
"gmtamesQSAR_0217","TA100","Negative","Train"
"gmtamesQSAR_0221","TA100","Negative","Train"
"gmtamesQSAR_0223","TA100","Negative","Train"
"gmtamesQSAR_0224","TA100","Positive","Train"
"gmtamesQSAR_0227","TA100","Negative","Train"
"gmtamesQSAR_0228","TA100","Negative","Train"
"gmtamesQSAR_0231","TA100","Negative","Train"
"gmtamesQSAR_0232","TA100","Negative","Train"
"gmtamesQSAR_0233","TA100","Positive","Train"
"gmtamesQSAR_0235","TA100","Positive","Train"
"gmtamesQSAR_0236","TA100","Negative","Train"
"gmtamesQSAR_0237","TA100","Negative","Train"
"gmtamesQSAR_0238","TA100","Positive","Train"
"gmtamesQSAR_0239","TA100","Negative","Train"
"gmtamesQSAR_0241","TA100","Negative","Train"
"gmtamesQSAR_0243","TA100","Positive","Train"
"gmtamesQSAR_0246","TA100","Negative","Train"
"gmtamesQSAR_0247","TA100","Negative","Train"
"gmtamesQSAR_0248","TA100","Positive","Train"
"gmtamesQSAR_0250","TA100","Positive","Train"
"gmtamesQSAR_0252","TA100","Positive","Train"
"gmtamesQSAR_0256","TA100","Negative","Train"
"gmtamesQSAR_0258","TA100","Negative","Train"
"gmtamesQSAR_0259","TA100","Positive","Train"
"gmtamesQSAR_0260","TA100","Negative","Train"
"gmtamesQSAR_0263","TA100","Negative","Train"
"gmtamesQSAR_0265","TA100","Positive","Train"
"gmtamesQSAR_0267","TA100","Negative","Train"
"gmtamesQSAR_0269","TA100","Negative","Train"
"gmtamesQSAR_0270","TA100","Positive","Train"
"gmtamesQSAR_0272","TA100","Negative","Train"
"gmtamesQSAR_0275","TA100","Negative","Train"
"gmtamesQSAR_0278","TA100","Negative","Train"
"gmtamesQSAR_0279","TA100","Positive","Train"
"gmtamesQSAR_0280","TA100","Positive","Train"
"gmtamesQSAR_0282","TA100","Positive","Train"
"gmtamesQSAR_0288","TA100","Positive","Train"
"gmtamesQSAR_0289","TA100","Negative","Train"
"gmtamesQSAR_0290","TA100","Negative","Train"
"gmtamesQSAR_0292","TA100","Negative","Train"
"gmtamesQSAR_0293","TA100","Negative","Train"
"gmtamesQSAR_0295","TA100","Positive","Train"
"gmtamesQSAR_0296","TA100","Negative","Train"
"gmtamesQSAR_0301","TA100","Negative","Train"
"gmtamesQSAR_0302","TA100","Negative","Train"
"gmtamesQSAR_0303","TA100","Negative","Train"
"gmtamesQSAR_0305","TA100","Positive","Train"
"gmtamesQSAR_0306","TA100","Negative","Train"
"gmtamesQSAR_0308","TA100","Negative","Train"
"gmtamesQSAR_0309","TA100","Positive","Train"
"gmtamesQSAR_0310","TA100","Negative","Train"
"gmtamesQSAR_0312","TA100","Negative","Train"
"gmtamesQSAR_0313","TA100","Negative","Train"
"gmtamesQSAR_0314","TA100","Positive","Train"
"gmtamesQSAR_0315","TA100","Negative","Train"
"gmtamesQSAR_0317","TA100","Positive","Train"
"gmtamesQSAR_0318","TA100","Positive","Train"
"gmtamesQSAR_0319","TA100","Negative","Train"
"gmtamesQSAR_0321","TA100","Negative","Train"
"gmtamesQSAR_0324","TA100","Negative","Train"
"gmtamesQSAR_0325","TA100","Negative","Train"
"gmtamesQSAR_0326","TA100","Negative","Train"
"gmtamesQSAR_0328","TA100","Negative","Train"
"gmtamesQSAR_0330","TA100","Negative","Train"
"gmtamesQSAR_0331","TA100","Positive","Train"
"gmtamesQSAR_0333","TA100","Positive","Train"
"gmtamesQSAR_0337","TA100","Negative","Train"
"gmtamesQSAR_0339","TA100","Negative","Train"
"gmtamesQSAR_0340","TA100","Negative","Train"
"gmtamesQSAR_0342","TA100","Negative","Train"
"gmtamesQSAR_0343","TA100","Negative","Train"
"gmtamesQSAR_0345","TA100","Positive","Train"
"gmtamesQSAR_0346","TA100","Negative","Train"
"gmtamesQSAR_0347","TA100","Negative","Train"
"gmtamesQSAR_0348","TA100","Negative","Train"
"gmtamesQSAR_0349","TA100","Positive","Train"
"gmtamesQSAR_0351","TA100","Positive","Train"
"gmtamesQSAR_0352","TA100","Negative","Train"
"gmtamesQSAR_0354","TA100","Negative","Train"
"gmtamesQSAR_0355","TA100","Positive","Train"
"gmtamesQSAR_0357","TA100","Negative","Train"
"gmtamesQSAR_0363","TA100","Negative","Train"
"gmtamesQSAR_0364","TA100","Positive","Train"
"gmtamesQSAR_0365","TA100","Negative","Train"
"gmtamesQSAR_0367","TA100","Positive","Train"
"gmtamesQSAR_0368","TA100","Negative","Train"
"gmtamesQSAR_0369","TA100","Negative","Train"
"gmtamesQSAR_0370","TA100","Positive","Train"
"gmtamesQSAR_0373","TA100","Negative","Train"
"gmtamesQSAR_0374","TA100","Positive","Train"
"gmtamesQSAR_0375","TA100","Negative","Train"
"gmtamesQSAR_0376","TA100","Positive","Train"
"gmtamesQSAR_0377","TA100","Negative","Train"
"gmtamesQSAR_0378","TA100","Positive","Train"
"gmtamesQSAR_0380","TA100","Positive","Train"
"gmtamesQSAR_0382","TA100","Negative","Train"
"gmtamesQSAR_0383","TA100","Negative","Train"
"gmtamesQSAR_0384","TA100","Positive","Train"
"gmtamesQSAR_0385","TA100","Negative","Train"
"gmtamesQSAR_0386","TA100","Negative","Train"
"gmtamesQSAR_0387","TA100","Negative","Train"
"gmtamesQSAR_0388","TA100","Negative","Train"
"gmtamesQSAR_0391","TA100","Negative","Train"
"gmtamesQSAR_0392","TA100","Negative","Train"
"gmtamesQSAR_0393","TA100","Positive","Train"
"gmtamesQSAR_0394","TA100","Positive","Train"
"gmtamesQSAR_0396","TA100","Negative","Train"
"gmtamesQSAR_0398","TA100","Positive","Train"
"gmtamesQSAR_0399","TA100","Negative","Train"
"gmtamesQSAR_0402","TA100","Negative","Train"
"gmtamesQSAR_0403","TA100","Negative","Train"
"gmtamesQSAR_0404","TA100","Positive","Train"
"gmtamesQSAR_0407","TA100","Negative","Train"
"gmtamesQSAR_0408","TA100","Negative","Train"
"gmtamesQSAR_0409","TA100","Negative","Train"
"gmtamesQSAR_0413","TA100","Negative","Train"
"gmtamesQSAR_0414","TA100","Positive","Train"
"gmtamesQSAR_0415","TA100","Negative","Train"
"gmtamesQSAR_0420","TA100","Negative","Train"
"gmtamesQSAR_0421","TA100","Negative","Train"
"gmtamesQSAR_0424","TA100","Positive","Train"
"gmtamesQSAR_0426","TA100","Negative","Train"
"gmtamesQSAR_0428","TA100","Negative","Train"
"gmtamesQSAR_0429","TA100","Negative","Train"
"gmtamesQSAR_0430","TA100","Negative","Train"
"gmtamesQSAR_0433","TA100","Positive","Train"
"gmtamesQSAR_0434","TA100","Positive","Train"
"gmtamesQSAR_0435","TA100","Positive","Train"
"gmtamesQSAR_0438","TA100","Negative","Train"
"gmtamesQSAR_0440","TA100","Negative","Train"
"gmtamesQSAR_0441","TA100","Negative","Train"
"gmtamesQSAR_0442","TA100","Negative","Train"
"gmtamesQSAR_0443","TA100","Negative","Train"
"gmtamesQSAR_0444","TA100","Negative","Train"
"gmtamesQSAR_0446","TA100","Negative","Train"
"gmtamesQSAR_0447","TA100","Negative","Train"
"gmtamesQSAR_0448","TA100","Negative","Train"
"gmtamesQSAR_0450","TA100","Negative","Train"
"gmtamesQSAR_0454","TA100","Negative","Train"
"gmtamesQSAR_0456","TA100","Negative","Train"
"gmtamesQSAR_0458","TA100","Negative","Train"
"gmtamesQSAR_0460","TA100","Negative","Train"
"gmtamesQSAR_0464","TA100","Negative","Train"
"gmtamesQSAR_0467","TA100","Negative","Train"
"gmtamesQSAR_0468","TA100","Positive","Train"
"gmtamesQSAR_0469","TA100","Positive","Train"
"gmtamesQSAR_0470","TA100","Negative","Train"
"gmtamesQSAR_0471","TA100","Positive","Train"
"gmtamesQSAR_0473","TA100","Negative","Train"
"gmtamesQSAR_0475","TA100","Negative","Train"
"gmtamesQSAR_0476","TA100","Positive","Train"
"gmtamesQSAR_0477","TA100","Positive","Train"
"gmtamesQSAR_0479","TA100","Negative","Train"
"gmtamesQSAR_0482","TA100","Negative","Train"
"gmtamesQSAR_0485","TA100","Negative","Train"
"gmtamesQSAR_0486","TA100","Positive","Train"
"gmtamesQSAR_0488","TA100","Negative","Train"
"gmtamesQSAR_0490","TA100","Negative","Train"
"gmtamesQSAR_0491","TA100","Negative","Train"
"gmtamesQSAR_0492","TA100","Negative","Train"
"gmtamesQSAR_0493","TA100","Negative","Train"
"gmtamesQSAR_0494","TA100","Positive","Train"
"gmtamesQSAR_0495","TA100","Negative","Train"
"gmtamesQSAR_0498","TA100","Negative","Train"
"gmtamesQSAR_0500","TA100","Negative","Train"
"gmtamesQSAR_0501","TA100","Negative","Train"
"gmtamesQSAR_0505","TA100","Negative","Train"
"gmtamesQSAR_0506","TA100","Positive","Train"
"gmtamesQSAR_0508","TA100","Negative","Train"
"gmtamesQSAR_0510","TA100","Positive","Train"
"gmtamesQSAR_0511","TA100","Negative","Train"
"gmtamesQSAR_0512","TA100","Negative","Train"
"gmtamesQSAR_0514","TA100","Negative","Train"
"gmtamesQSAR_0517","TA100","Negative","Train"
"gmtamesQSAR_0519","TA100","Negative","Train"
"gmtamesQSAR_0521","TA100","Negative","Train"
"gmtamesQSAR_0522","TA100","Negative","Train"
"gmtamesQSAR_0523","TA100","Negative","Train"
"gmtamesQSAR_0524","TA100","Negative","Train"
"gmtamesQSAR_0525","TA100","Negative","Train"
"gmtamesQSAR_0527","TA100","Negative","Train"
"gmtamesQSAR_0531","TA100","Negative","Train"
"gmtamesQSAR_0533","TA100","Negative","Train"
"gmtamesQSAR_0538","TA100","Negative","Train"
"gmtamesQSAR_0539","TA100","Positive","Train"
"gmtamesQSAR_0540","TA100","Positive","Train"
"gmtamesQSAR_0542","TA100","Negative","Train"
"gmtamesQSAR_0543","TA100","Negative","Train"
"gmtamesQSAR_0544","TA100","Negative","Train"
"gmtamesQSAR_0545","TA100","Positive","Train"
"gmtamesQSAR_0547","TA100","Positive","Train"
"gmtamesQSAR_0548","TA100","Negative","Train"
"gmtamesQSAR_0550","TA100","Negative","Train"
"gmtamesQSAR_0553","TA100","Negative","Train"
"gmtamesQSAR_0554","TA100","Negative","Train"
"gmtamesQSAR_0555","TA100","Negative","Train"
"gmtamesQSAR_0556","TA100","Negative","Train"
"gmtamesQSAR_0559","TA100","Negative","Train"
"gmtamesQSAR_0560","TA100","Negative","Train"
"gmtamesQSAR_0562","TA100","Positive","Train"
"gmtamesQSAR_0564","TA100","Positive","Train"
"gmtamesQSAR_0566","TA100","Negative","Train"
"gmtamesQSAR_0567","TA100","Positive","Train"
"gmtamesQSAR_0568","TA100","Positive","Train"
"gmtamesQSAR_0569","TA100","Positive","Train"
"gmtamesQSAR_0570","TA100","Negative","Train"
"gmtamesQSAR_0571","TA100","Positive","Train"
"gmtamesQSAR_0574","TA100","Positive","Train"
"gmtamesQSAR_0579","TA100","Negative","Train"
"gmtamesQSAR_0580","TA100","Positive","Train"
"gmtamesQSAR_0581","TA100","Negative","Train"
"gmtamesQSAR_0582","TA100","Negative","Train"
"gmtamesQSAR_0584","TA100","Negative","Train"
"gmtamesQSAR_0585","TA100","Negative","Train"
"gmtamesQSAR_0589","TA100","Negative","Train"
"gmtamesQSAR_0591","TA100","Negative","Train"
"gmtamesQSAR_0594","TA100","Negative","Train"
"gmtamesQSAR_0595","TA100","Positive","Train"
"gmtamesQSAR_0596","TA100","Negative","Train"
"gmtamesQSAR_0597","TA100","Negative","Train"
"gmtamesQSAR_0598","TA100","Negative","Train"
"gmtamesQSAR_0599","TA100","Positive","Train"
"gmtamesQSAR_0600","TA100","Negative","Train"
"gmtamesQSAR_0602","TA100","Positive","Train"
"gmtamesQSAR_0603","TA100","Negative","Train"
"gmtamesQSAR_0604","TA100","Negative","Train"
"gmtamesQSAR_0605","TA100","Positive","Train"
"gmtamesQSAR_0606","TA100","Negative","Train"
"gmtamesQSAR_0607","TA100","Negative","Train"
"gmtamesQSAR_0608","TA100","Negative","Train"
"gmtamesQSAR_0610","TA100","Negative","Train"
"gmtamesQSAR_0611","TA100","Negative","Train"
"gmtamesQSAR_0612","TA100","Negative","Train"
"gmtamesQSAR_0613","TA100","Negative","Train"
"gmtamesQSAR_0614","TA100","Positive","Train"
"gmtamesQSAR_0615","TA100","Negative","Train"
"gmtamesQSAR_0616","TA100","Positive","Train"
"gmtamesQSAR_0618","TA100","Negative","Train"
"gmtamesQSAR_0619","TA100","Negative","Train"
"gmtamesQSAR_0620","TA100","Negative","Train"
"gmtamesQSAR_0621","TA100","Positive","Train"
"gmtamesQSAR_0622","TA100","Negative","Train"
"gmtamesQSAR_0623","TA100","Positive","Train"
"gmtamesQSAR_0627","TA100","Negative","Train"
"gmtamesQSAR_0629","TA100","Negative","Train"
"gmtamesQSAR_0632","TA100","Negative","Train"
"gmtamesQSAR_0633","TA100","Negative","Train"
"gmtamesQSAR_0634","TA100","Negative","Train"
"gmtamesQSAR_0635","TA100","Negative","Train"
"gmtamesQSAR_0638","TA100","Positive","Train"
"gmtamesQSAR_0641","TA100","Negative","Train"
"gmtamesQSAR_0642","TA100","Negative","Train"
"gmtamesQSAR_0643","TA100","Negative","Train"
"gmtamesQSAR_0644","TA100","Negative","Train"
"gmtamesQSAR_0645","TA100","Negative","Train"
"gmtamesQSAR_0646","TA100","Negative","Train"
"gmtamesQSAR_0647","TA100","Negative","Train"
"gmtamesQSAR_0649","TA100","Negative","Train"
"gmtamesQSAR_0650","TA100","Negative","Train"
"gmtamesQSAR_0651","TA100","Negative","Train"
"gmtamesQSAR_0654","TA100","Negative","Train"
"gmtamesQSAR_0655","TA100","Negative","Train"
"gmtamesQSAR_0656","TA100","Negative","Train"
"gmtamesQSAR_0657","TA100","Negative","Train"
"gmtamesQSAR_0658","TA100","Positive","Train"
"gmtamesQSAR_0660","TA100","Negative","Train"
"gmtamesQSAR_0661","TA100","Positive","Train"
"gmtamesQSAR_0663","TA100","Negative","Train"
"gmtamesQSAR_0665","TA100","Positive","Train"
"gmtamesQSAR_0667","TA100","Positive","Train"
"gmtamesQSAR_0670","TA100","Negative","Train"
"gmtamesQSAR_0672","TA100","Positive","Train"
"gmtamesQSAR_0673","TA100","Negative","Train"
"gmtamesQSAR_0674","TA100","Positive","Train"
"gmtamesQSAR_0676","TA100","Negative","Train"
"gmtamesQSAR_0677","TA100","Negative","Train"
"gmtamesQSAR_0680","TA100","Negative","Train"
"gmtamesQSAR_0681","TA100","Negative","Train"
"gmtamesQSAR_0682","TA100","Positive","Train"
"gmtamesQSAR_0683","TA100","Positive","Train"
"gmtamesQSAR_0686","TA100","Negative","Train"
"gmtamesQSAR_0687","TA100","Negative","Train"
"gmtamesQSAR_0688","TA100","Positive","Train"
"gmtamesQSAR_0690","TA100","Negative","Train"
"gmtamesQSAR_0692","TA100","Positive","Train"
"gmtamesQSAR_0693","TA100","Negative","Train"
"gmtamesQSAR_0698","TA100","Positive","Train"
"gmtamesQSAR_0699","TA100","Negative","Train"
"gmtamesQSAR_0701","TA100","Positive","Train"
"gmtamesQSAR_0702","TA100","Negative","Train"
"gmtamesQSAR_0704","TA100","Negative","Train"
"gmtamesQSAR_0705","TA100","Positive","Train"
"gmtamesQSAR_0707","TA100","Negative","Train"
"gmtamesQSAR_0709","TA100","Negative","Train"
"gmtamesQSAR_0710","TA100","Negative","Train"
"gmtamesQSAR_0711","TA100","Negative","Train"
"gmtamesQSAR_0712","TA100","Negative","Train"
"gmtamesQSAR_0713","TA100","Negative","Train"
"gmtamesQSAR_0715","TA100","Negative","Train"
"gmtamesQSAR_0716","TA100","Positive","Train"
"gmtamesQSAR_0717","TA100","Negative","Train"
"gmtamesQSAR_0721","TA100","Negative","Train"
"gmtamesQSAR_0722","TA100","Negative","Train"
"gmtamesQSAR_0725","TA100","Negative","Train"
"gmtamesQSAR_0727","TA100","Positive","Train"
"gmtamesQSAR_0729","TA100","Negative","Train"
"gmtamesQSAR_0730","TA100","Positive","Train"
"gmtamesQSAR_0731","TA100","Negative","Train"
"gmtamesQSAR_0733","TA100","Negative","Train"
"gmtamesQSAR_0734","TA100","Negative","Train"
"gmtamesQSAR_0737","TA100","Negative","Train"
"gmtamesQSAR_0738","TA100","Positive","Train"
"gmtamesQSAR_0744","TA100","Negative","Train"
"gmtamesQSAR_0745","TA100","Positive","Train"
"gmtamesQSAR_0748","TA100","Positive","Train"
"gmtamesQSAR_0750","TA100","Negative","Train"
"gmtamesQSAR_0753","TA100","Positive","Train"
"gmtamesQSAR_0756","TA100","Positive","Train"
"gmtamesQSAR_0757","TA100","Negative","Train"
"gmtamesQSAR_0758","TA100","Negative","Train"
"gmtamesQSAR_0761","TA100","Negative","Train"
"gmtamesQSAR_0762","TA100","Negative","Train"
"gmtamesQSAR_0764","TA100","Negative","Train"
"gmtamesQSAR_0765","TA100","Positive","Train"
"gmtamesQSAR_0766","TA100","Negative","Train"
"gmtamesQSAR_0768","TA100","Negative","Train"
"gmtamesQSAR_0769","TA100","Negative","Train"
"gmtamesQSAR_0771","TA100","Negative","Train"
"gmtamesQSAR_0772","TA100","Negative","Train"
"gmtamesQSAR_0773","TA100","Negative","Train"
"gmtamesQSAR_0774","TA100","Positive","Train"
"gmtamesQSAR_0775","TA100","Negative","Train"
"gmtamesQSAR_0776","TA100","Positive","Train"
"gmtamesQSAR_0777","TA100","Negative","Train"
"gmtamesQSAR_0779","TA100","Negative","Train"
"gmtamesQSAR_0780","TA100","Negative","Train"
"gmtamesQSAR_0781","TA100","Negative","Train"
"gmtamesQSAR_0783","TA100","Negative","Train"
"gmtamesQSAR_0784","TA100","Negative","Train"
"gmtamesQSAR_0787","TA100","Negative","Train"
"gmtamesQSAR_0788","TA100","Negative","Train"
"gmtamesQSAR_0789","TA100","Negative","Train"
"gmtamesQSAR_0793","TA100","Positive","Train"
"gmtamesQSAR_0794","TA100","Positive","Train"
"gmtamesQSAR_0796","TA100","Negative","Train"
"gmtamesQSAR_0797","TA100","Negative","Train"
"gmtamesQSAR_0798","TA100","Negative","Train"
"gmtamesQSAR_0801","TA100","Positive","Train"
"gmtamesQSAR_0804","TA100","Negative","Train"
"gmtamesQSAR_0806","TA100","Negative","Train"
"gmtamesQSAR_0807","TA100","Negative","Train"
"gmtamesQSAR_0808","TA100","Positive","Train"
"gmtamesQSAR_0810","TA100","Negative","Train"
"gmtamesQSAR_0812","TA100","Negative","Train"
"gmtamesQSAR_0814","TA100","Negative","Train"
"gmtamesQSAR_0818","TA100","Negative","Train"
"gmtamesQSAR_0819","TA100","Negative","Train"
"gmtamesQSAR_0820","TA100","Positive","Train"
"gmtamesQSAR_0821","TA100","Negative","Train"
"gmtamesQSAR_0823","TA100","Positive","Train"
"gmtamesQSAR_0824","TA100","Negative","Train"
"gmtamesQSAR_0826","TA100","Positive","Train"
"gmtamesQSAR_0827","TA100","Positive","Train"
"gmtamesQSAR_0828","TA100","Negative","Train"
"gmtamesQSAR_0829","TA100","Negative","Train"
"gmtamesQSAR_0831","TA100","Negative","Train"
"gmtamesQSAR_0832","TA100","Negative","Train"
"gmtamesQSAR_0834","TA100","Positive","Train"
"gmtamesQSAR_0835","TA100","Negative","Train"
"gmtamesQSAR_0836","TA100","Negative","Train"
"gmtamesQSAR_0837","TA100","Negative","Train"
"gmtamesQSAR_0838","TA100","Negative","Train"
"gmtamesQSAR_0839","TA100","Negative","Train"
"gmtamesQSAR_0840","TA100","Negative","Train"
"gmtamesQSAR_0841","TA100","Negative","Train"
"gmtamesQSAR_0843","TA100","Negative","Train"
"gmtamesQSAR_0844","TA100","Negative","Train"
"gmtamesQSAR_0845","TA100","Negative","Train"
"gmtamesQSAR_0846","TA100","Negative","Train"
"gmtamesQSAR_0848","TA100","Negative","Train"
"gmtamesQSAR_0849","TA100","Negative","Train"
"gmtamesQSAR_0851","TA100","Negative","Train"
"gmtamesQSAR_0854","TA100","Negative","Train"
"gmtamesQSAR_0856","TA100","Negative","Train"
"gmtamesQSAR_0858","TA100","Negative","Train"
"gmtamesQSAR_0860","TA100","Negative","Train"
"gmtamesQSAR_0862","TA100","Negative","Train"
"gmtamesQSAR_0863","TA100","Negative","Train"
"gmtamesQSAR_0865","TA100","Positive","Train"
"gmtamesQSAR_0866","TA100","Negative","Train"
"gmtamesQSAR_0867","TA100","Positive","Train"
"gmtamesQSAR_0868","TA100","Negative","Train"
"gmtamesQSAR_0870","TA100","Negative","Train"
"gmtamesQSAR_0872","TA100","Negative","Train"
"gmtamesQSAR_0874","TA100","Negative","Train"
"gmtamesQSAR_0876","TA100","Negative","Train"
"gmtamesQSAR_0878","TA100","Negative","Train"
"gmtamesQSAR_0879","TA100","Negative","Train"
"gmtamesQSAR_0881","TA100","Negative","Train"
"gmtamesQSAR_0882","TA100","Negative","Train"
"gmtamesQSAR_0884","TA100","Negative","Train"
"gmtamesQSAR_0885","TA100","Negative","Train"
"gmtamesQSAR_0889","TA100","Negative","Train"
"gmtamesQSAR_0892","TA100","Negative","Train"
"gmtamesQSAR_0893","TA100","Negative","Train"
"gmtamesQSAR_0897","TA100","Negative","Train"
"gmtamesQSAR_0899","TA100","Negative","Train"
"gmtamesQSAR_0900","TA100","Negative","Train"
"gmtamesQSAR_0902","TA100","Negative","Train"
"gmtamesQSAR_0907","TA100","Negative","Train"
"gmtamesQSAR_0908","TA100","Positive","Train"
"gmtamesQSAR_0909","TA100","Negative","Train"
"gmtamesQSAR_0910","TA100","Positive","Train"
"gmtamesQSAR_0913","TA100","Negative","Train"
"gmtamesQSAR_0914","TA100","Negative","Train"
"gmtamesQSAR_0917","TA100","Negative","Train"
"gmtamesQSAR_0920","TA100","Positive","Train"
"gmtamesQSAR_0921","TA100","Negative","Train"
